0.1,0,bowled,batsmenA,batsmenB,finch,warner
0.2,0,null,batsmenA,batsmenB,smith,warner
0.3,0,null,batsmenA,batsmenB,smith,warner
0.4,0,null,batsmenA,batsmenB,smith,warner
0.5,1,null,batsmenA,batsmenB,smith,warner
1,1,null,batsmenB,batsmenA,smith,warner
1.1,0,null,batsmenB,batsmenA,smith,warner
1.2,0,null,batsmenB,batsmenA,smith,warner
1.3,4,null,batsmenB,batsmenA,smith,warner
1.4,0,null,batsmenB,batsmenA,smith,warner
1.5,0,null,batsmenB,batsmenA,smith,warner
1.6,1,null,batsmenB,batsmenA,smith,warner
2,0,null,batsmenB,batsmenA,smith,warner
2.1,0,null,batsmenA,batsmenB,smith,warner
2.2,0,null,batsmenA,batsmenB,smith,warner
2.3,0,null,batsmenA,batsmenB,smith,warner
2.4,0,null,batsmenA,batsmenB,smith,warner
2.5,0,null,batsmenA,batsmenB,smith,warner
3,0,null,batsmenA,batsmenB,smith,warner
3.1,1,null,batsmenB,batsmenA,smith,warner
3.2,0,null,batsmenA,batsmenB,smith,warner
3.3,0,null,batsmenA,batsmenB,smith,warner
3.4,0,null,batsmenA,batsmenB,smith,warner
3.5,4,null,batsmenA,batsmenB,smith,warner
3.6,0,null,batsmenA,batsmenB,smith,warner
4,0,null,batsmenA,batsmenB,smith,warner
4.1,1,null,batsmenB,batsmenA,smith,warner
4.2,4,null,batsmenA,batsmenB,smith,warner
4.3,0,null,batsmenA,batsmenB,smith,warner
4.4,0,null,batsmenA,batsmenB,smith,warner
4.5,4,null,batsmenA,batsmenB,smith,warner
5,0,null,batsmenA,batsmenB,smith,warner
5.1,0,null,batsmenB,batsmenA,smith,warner
5.2,0,null,batsmenA,batsmenB,smith,warner
5.3,1,null,batsmenA,batsmenB,smith,warner
5.4,0,null,batsmenB,batsmenA,smith,warner
5.5,0,null,batsmenA,batsmenB,smith,warner
6,4,null,batsmenA,batsmenB,smith,warner
6.1,0,null,batsmenB,batsmenA,smith,warner
6.2,0,null,batsmenB,batsmenA,smith,warner
6.3,1,null,batsmenB,batsmenA,smith,warner
6.4,0,null,batsmenA,batsmenB,smith,warner
6.5,0,null,batsmenA,batsmenB,smith,warner
6.6,0,null,batsmenA,batsmenB,smith,warner
